
Clusters Statistics:
Signature	Patterns	Traces	DistinctValues	SharedValues	Sharing	DistinctValuesDistanceMeanMean	DistinctValuesDistanceMeanStdDev	DistinctValuesDistanceMedianMean	DistinctValuesDistancesMedianStdDev	DistinctValuesDistancesThirdQuartileMean	DistinctValuesDistancesThirdQuartileStdDev	DistinctValuesDistanceStdDevMean	DistinctValuesDistanceStdDevStdDev	DistinctValuesMean	DistinctValuesOccurrenciesMean	DistinctValuesOccurrenciesStdDev	DistinctValuesStdDev	EventDistanceMeanMean	EventDistanceMeanStdDev	EventDistanceMedianMean	EventDistanceMedianStdDev	EventDistanceStdDevMean	EventDistanceStdDevStdDev	ValuesMeanOnValuesOccurrenciesMean	ValuesNumberOnValuesDistanceMedian	ValuesNumberOnValuesOccurrenciesPerDistanceMedian	GoMedian	RiMedian	RaMedian
net.n3.nanoxml.StdXMLReader.stream2reader((Ljava.io.InputStream;Ljava.lang.StringBuffer;)Ljava.io.Reader;)_java.io.PushbackInputStream.read(()I)E#_0	[ java.io.PushbackInputStream.read(()I)E# ]	34	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029411764705882353	2.2468123349997192E-4	0.014987686674174588	0.16895772489817726	NaN	NaN	0.0	0.0	NaN	NaN	130.90441176470588	Infinity	Infinity	.2.2468123349997192E-4	2.2468123349997192E-4	2.2468123349997192E-4	RA
net.n3.nanoxml.StdXMLBuilder.<init>(()V)_net.n3.nanoxml.XMLElement.<init>((Ljava.lang.String;Ljava.lang.String;Ljava.lang.String;I)V)E#_0	[ net.n3.nanoxml.XMLElement.<init>((Ljava.lang.String;Ljava.lang.String;Ljava.lang.String;I)V)E# ]	34	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029411764705882353	1.1234061674998596E-4	0.010598490285689264	0.1689577248981772	NaN	NaN	0.0	0.0	NaN	NaN	261.80882352941177	Infinity	Infinity	.1.1234061674998596E-4	1.1234061674998596E-4	1.1234061674998596E-4	RA
net.n3.nanoxml.XMLParserFactory.createDefaultXMLParser(()Lnet.n3.nanoxml.IXMLParser;)_net.n3.nanoxml.XMLElement.<init>((Ljava.lang.String;Ljava.lang.String;Ljava.lang.String;I)V)B#_0	[ net.n3.nanoxml.XMLElement.<init>((Ljava.lang.String;Ljava.lang.String;Ljava.lang.String;I)V)B# ]	34	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029411764705882353	1.1234061674998596E-4	0.010598490285689264	0.1689577248981772	NaN	NaN	0.0	0.0	NaN	NaN	261.80882352941177	Infinity	Infinity	.1.1234061674998596E-4	1.1234061674998596E-4	1.1234061674998596E-4	RA
java.io.FileInputStream.<init>((Ljava.lang.String;)V)_java.io.FileInputStream.<init>((Ljava.lang.String;)V)E#_0	[ java.io.FileInputStream.<init>((Ljava.lang.String;)V)E# ]	34	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029411764705882353	1.1234061674998596E-4	0.01059849028568926	0.16895772489817723	NaN	NaN	0.0	0.0	NaN	NaN	261.80882352941177	Infinity	Infinity	.1.1234061674998596E-4	1.1234061674998596E-4	1.1234061674998596E-4	RA
java.io.PushbackInputStream.read(()I)_java.io.PushbackInputStream.read(()I)E#_0	[ java.io.PushbackInputStream.read(()I)E# ]	34	12	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4117647058823529	0.012582149075998427	0.1114622743381266	0.49215295678475035	NaN	NaN	0.0	0.0	NaN	NaN	32.72610294117647	Infinity	Infinity	.0.012582149075998427	0.012582149075998427	0.012582149075998427	RA
net.n3.nanoxml.StdXMLBuilder.<init>(()V)_net.n3.nanoxml.XMLElement.<init>((Ljava.lang.String;Ljava.lang.String;Ljava.lang.String;I)V)E#_1	[ net.n3.nanoxml.XMLElement.<init>((Ljava.lang.String;Ljava.lang.String;Ljava.lang.String;I)V)E# ]	34	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029411764705882353	1.1234061674998596E-4	0.010598490285689264	0.1689577248981772	NaN	NaN	0.0	0.0	NaN	NaN	261.80882352941177	Infinity	Infinity	.1.1234061674998596E-4	1.1234061674998596E-4	1.1234061674998596E-4	RA
net.n3.nanoxml.XMLParserFactory.createDefaultXMLParser(()Lnet.n3.nanoxml.IXMLParser;)_net.n3.nanoxml.XMLElement.<init>((Ljava.lang.String;Ljava.lang.String;Ljava.lang.String;I)V)B#_1	[ net.n3.nanoxml.XMLElement.<init>((Ljava.lang.String;Ljava.lang.String;Ljava.lang.String;I)V)B# ]	34	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029411764705882353	1.1234061674998596E-4	0.010598490285689264	0.1689577248981772	NaN	NaN	0.0	0.0	NaN	NaN	261.80882352941177	Infinity	Infinity	.1.1234061674998596E-4	1.1234061674998596E-4	1.1234061674998596E-4	RA
net.n3.nanoxml.StdXMLReader.fileReader((Ljava.lang.String;)Lnet.n3.nanoxml.IXMLReader;)_java.io.FileInputStream.<init>((Ljava.lang.String;)V)B#_0	[ java.io.FileInputStream.<init>((Ljava.lang.String;)V)B# ]	34	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029411764705882353	1.1234061674998596E-4	0.01059849028568926	0.16895772489817723	NaN	NaN	0.0	0.0	NaN	NaN	261.80882352941177	Infinity	Infinity	.1.1234061674998596E-4	1.1234061674998596E-4	1.1234061674998596E-4	RA
net.n3.nanoxml.StdXMLBuilder.<init>(()V)_net.n3.nanoxml.XMLElement.<init>((Ljava.lang.String;Ljava.lang.String;Ljava.lang.String;I)V)E#_2	[ net.n3.nanoxml.XMLElement.<init>((Ljava.lang.String;Ljava.lang.String;Ljava.lang.String;I)V)E# ]	34	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029411764705882353	1.1234061674998596E-4	0.010598490285689264	0.1689577248981772	NaN	NaN	0.0	0.0	NaN	NaN	261.80882352941177	Infinity	Infinity	.1.1234061674998596E-4	1.1234061674998596E-4	1.1234061674998596E-4	RA
net.n3.nanoxml.XMLParserFactory.createDefaultXMLParser(()Lnet.n3.nanoxml.IXMLParser;)_net.n3.nanoxml.XMLElement.<init>((Ljava.lang.String;Ljava.lang.String;Ljava.lang.String;I)V)B#_2	[ net.n3.nanoxml.XMLElement.<init>((Ljava.lang.String;Ljava.lang.String;Ljava.lang.String;I)V)B# ]	34	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029411764705882353	1.1234061674998596E-4	0.010598490285689264	0.1689577248981772	NaN	NaN	0.0	0.0	NaN	NaN	261.80882352941177	Infinity	Infinity	.1.1234061674998596E-4	1.1234061674998596E-4	1.1234061674998596E-4	RA
