
Clusters Statistics:
Signature	Patterns	Traces	DistinctValues	SharedValues	Sharing	DistinctValuesDistanceMeanMean	DistinctValuesDistanceMeanStdDev	DistinctValuesDistanceMedianMean	DistinctValuesDistancesMedianStdDev	DistinctValuesDistancesThirdQuartileMean	DistinctValuesDistancesThirdQuartileStdDev	DistinctValuesDistanceStdDevMean	DistinctValuesDistanceStdDevStdDev	DistinctValuesMean	DistinctValuesOccurrenciesMean	DistinctValuesOccurrenciesStdDev	DistinctValuesStdDev	EventDistanceMeanMean	EventDistanceMeanStdDev	EventDistanceMedianMean	EventDistanceMedianStdDev	EventDistanceStdDevMean	EventDistanceStdDevStdDev	ValuesMeanOnValuesOccurrenciesMean	ValuesNumberOnValuesDistanceMedian	ValuesNumberOnValuesOccurrenciesPerDistanceMedian	GoMedian	RiMedian	RaMedian
5_R0066_1	[ ^(.*) JBI framework (.*) complete. ]	17	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.058823529411764705	0.058823529411764705	0.2352941176470589	0.2352941176470589	NaN	NaN	0.0	0.0	NaN	NaN	1.0	Infinity	Infinity	.0.058823529411764705	0.058823529411764705	0.058823529411764705	GO
6_R0061_0	[ ^EJB5122 EJB Timer Service shutdown at 2008/04/22 , 22 , (.*) , (.*) ]	17	4	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29411764705882354	0.23529411764705882	0.4241825029957634	0.5703152773430976	NaN	NaN	2.823529411764706	11.294117647058817	NaN	NaN	1.25	Infinity	Infinity	.0.23529411764705882	0.23529411764705882	0.23529411764705882	GO
5_R0066_0	[ ^(.*) JBI framework (.*) complete. ]	17	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.058823529411764705	0.058823529411764705	0.2352941176470589	0.2352941176470589	NaN	NaN	0.0	0.0	NaN	NaN	1.0	Infinity	Infinity	.0.058823529411764705	0.058823529411764705	0.058823529411764705	GO
14_R0020_0	[ ^deployed with moduleid (.*) ]	17	4	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23529411764705882	0.23529411764705882	0.4241825029957634	0.4241825029957634	NaN	NaN	0.0	0.0	NaN	NaN	1.0	Infinity	Infinity	.0.23529411764705882	0.23529411764705882	0.23529411764705882	GO
20_R0042_0	[ ^(.*) org.apache.shale.remoting.impl.MethodBindingProcessor ]	17	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17647058823529413	0.17647058823529413	0.38122004108281526	0.38122004108281526	NaN	NaN	0.0	0.0	NaN	NaN	1.0	Infinity	Infinity	.0.17647058823529413	0.17647058823529413	0.17647058823529413	GO
6_R0062_1	[ ^EJB5122 EJB Timer Service shutdown at 2008/04/22 , (.*) , (.*) , (.*) ]	17	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.058823529411764705	0.058823529411764705	0.23529411764705885	0.23529411764705885	NaN	NaN	0.0	0.0	NaN	NaN	1.0	Infinity	Infinity	.0.058823529411764705	0.058823529411764705	0.058823529411764705	GO
20_R0041_0	[ ^(.*) org.apache.shale.remoting.impl.WebResourceProcessor ]	17	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17647058823529413	0.17647058823529413	0.38122004108281526	0.38122004108281526	NaN	NaN	0.0	0.0	NaN	NaN	1.0	Infinity	Infinity	.0.17647058823529413	0.17647058823529413	0.17647058823529413	GO
20_R0043_0	[ ^(.*) org.apache.shale.remoting.impl.ClassResourceProcessor ]	17	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17647058823529413	0.17647058823529413	0.38122004108281526	0.38122004108281526	NaN	NaN	0.0	0.0	NaN	NaN	1.0	Infinity	Infinity	.0.17647058823529413	0.17647058823529413	0.17647058823529413	GO
6_R0062_0	[ ^EJB5122 EJB Timer Service shutdown at 2008/04/22 , (.*) , (.*) , (.*) ]	17	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.058823529411764705	0.058823529411764705	0.23529411764705885	0.23529411764705885	NaN	NaN	0.0	0.0	NaN	NaN	1.0	Infinity	Infinity	.0.058823529411764705	0.058823529411764705	0.058823529411764705	GO
3_R0034_1	[ ^(.*) (.*) the (.*) to (.*) ]	17	1	0	0.0	12.764705882352942	51.05882352941177	12.764705882352942	51.05882352941177	12.764705882352942	51.05882352941177	0.0	0.0	0.058823529411764705	0.11764705882352941	0.4705882352941178	0.2352941176470589	NaN	NaN	12.764705882352942	51.05882352941177	NaN	NaN	0.5	0.004608294930875576	0.03917050691244239	.0.058823529411764705	0.058823529411764705	0.058823529411764705	GO
3_R0034_0	[ ^(.*) (.*) the (.*) to (.*) ]	17	1	0	0.0	12.764705882352942	51.05882352941177	12.764705882352942	51.05882352941177	12.764705882352942	51.05882352941177	0.0	0.0	0.058823529411764705	0.11764705882352941	0.4705882352941178	0.2352941176470589	NaN	NaN	12.764705882352942	51.05882352941177	NaN	NaN	0.5	0.004608294930875576	0.03917050691244239	.0.058823529411764705	0.058823529411764705	0.058823529411764705	GO
3_R0034_2	[ ^(.*) (.*) the (.*) to (.*) ]	17	1	0	0.0	12.764705882352942	51.05882352941177	12.764705882352942	51.05882352941177	12.764705882352942	51.05882352941177	0.0	0.0	0.058823529411764705	0.11764705882352941	0.4705882352941178	0.2352941176470589	NaN	NaN	12.764705882352942	51.05882352941177	NaN	NaN	0.5	0.004608294930875576	0.03917050691244239	.0.058823529411764705	0.058823529411764705	0.058823529411764705	GO
6_R0060_0	[ ^EJB5122 EJB Timer Service shutdown at 2008/04/23 , 11 , (.*) , (.*) ]	17	9	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5294117647058824	0.5294117647058824	0.4991341984846218	0.4991341984846218	NaN	NaN	0.0	0.0	NaN	NaN	1.0	Infinity	Infinity	.0.5294117647058824	0.5294117647058824	0.5294117647058824	GO
11_R0024_0	[ ^Initializing Sun's JavaServer Faces implementation 1.2_04\-b20\-p03 for context (.*) ]	17	3	0	0.0	3.0294117647058822	8.613379790691056	3.0294117647058822	8.613379790691056	3.0294117647058822	8.613379790691056	0.7941176470588235	3.1764705882352957	1.1176470588235294	1.0	0.6859943405700354	0.7578881603955954	NaN	NaN	12.411764705882353	26.454864611101215	NaN	NaN	1.1176470588235294	0.36893203883495146	0.36893203883495146	.0.8823529411764706	0.8235294117647058	0.8235294117647058	RA

